Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
PubMed,line,sg_aug,10,0.1,100.0,events.out.tfevents.1735874908.d1009,39.57740831375122,10399,0.17533181607723236,0.0,0.17533181607723236,4785.0517578125,0.7126693725585938,0.7127,4,0.04981869459152222,0.0498,4,0.014553248882293701,0.0146,4,0.6228364109992981,0.6228,4,0.032876044511795044,0.0329,4,0.010603736154735088,0.0106,4,1.1893913745880127,413386752.0,0.7282522916793823,0.7283,20,0.054099515080451965,0.0541,20,0.012296930886805058,0.0123,20,0.6244526505470276,0.6245,20,0.033462125808000565,0.0335,20,0.007354931905865669,0.0074,20
PubMed,line,sg_aug,100,0.1,0.1,events.out.tfevents.1735873281.d1009,30.17423415184021,2079,-0.0,0.0,0.0,635424.25,0.971630871295929,0.9716,4,0.46305206418037415,0.4631,4,0.21683213114738464,0.2168,4,0.5410714149475098,0.5411,4,0.017320502549409866,0.0188,3,0.0024817518424242735,0.0039,3,0.2692488431930542,667403264.0,0.9748477339744568,0.9748,20,0.476882666349411,0.4769,20,0.24954873323440552,0.2495,20,0.5359621047973633,0.5360,20,0.018135162070393562,0.0181,20,0.002959522185847163,0.0030,20
PubMed,line,sg_aug,100,0.1,0.1,events.out.tfevents.1735873815.d1009,33.004016160964966,4859,-0.0,0.0,0.0,605502.9375,0.9551717638969421,0.9552,4,0.49710315465927124,0.4971,4,0.362026184797287,0.3620,4,0.6034669876098633,0.6035,4,0.033227674663066864,0.0332,4,0.008382505737245083,0.0084,4,0.4033213257789612,556912640.0,0.963912308216095,0.9639,20,0.5249970555305481,0.5250,20,0.4246389865875244,0.4246,20,0.6123817563056946,0.6124,20,0.03361068665981293,0.0336,20,0.012599792331457138,0.0126,20
PubMed,line,sg_aug,100,0.1,0.1,events.out.tfevents.1735874364.d1009,35.94461107254028,7619,1.5497214462811826e-06,0.0,1.5497214462811826e-06,310211.0,0.9556590914726257,0.9557,4,0.48434460163116455,0.4843,4,0.396435022354126,0.3964,4,0.6705675721168518,0.6706,4,0.05131996050477028,0.0513,4,0.027300074696540833,0.0273,4,0.4698226749897003,484895744.0,0.9639745354652405,0.9640,20,0.48829546570777893,0.4883,20,0.42046478390693665,0.4205,20,0.6840421557426453,0.6840,20,0.053394630551338196,0.0534,20,0.028352970257401466,0.0284,20
PubMed,line,sg_aug,100,0.1,0.1,events.out.tfevents.1735874960.d1009,38.813629388809204,10399,-0.0,0.0,0.0,604161.5625,0.9550277590751648,0.9550,4,0.4153546094894409,0.4154,4,0.3411552309989929,0.3412,4,0.7202152013778687,0.7202,4,0.06937187910079956,0.0694,4,0.04051980748772621,0.0405,4,0.4253545105457306,413386752.0,0.9614738821983337,0.9615,20,0.43559151887893677,0.4356,20,0.3555956780910492,0.3556,20,0.7243860363960266,0.7244,20,0.07185899466276169,0.0719,20,0.042324699461460114,0.0423,20
PubMed,line,sg_aug,100,0.1,1.0,events.out.tfevents.1735873326.d1009,30.17917561531067,2079,-0.0,0.0,0.0,652513.8125,0.9244850873947144,0.9245,4,0.2086772471666336,0.2087,4,0.05922833830118179,0.0592,4,0.590071439743042,0.6036,1,0.0165546964854002,0.0166,4,0.001632382278330624,0.0019,3,0.5336378216743469,667403264.0,0.9342087507247925,0.9342,20,0.25459742546081543,0.2546,20,0.0791967511177063,0.0792,20,0.5949530601501465,0.5950,20,0.01712990365922451,0.0171,20,0.00179163902066648,0.0018,20
PubMed,line,sg_aug,100,0.1,1.0,events.out.tfevents.1735873855.d1009,33.06862831115723,4859,2.3841860752327193e-07,0.0,2.3841860752327193e-07,622999.5,0.953191876411438,0.9532,4,0.46247604489326477,0.4625,4,0.3351759910583496,0.3352,4,0.6270971298217773,0.6271,4,0.03611394017934799,0.0361,4,0.010065949521958828,0.0101,4,0.3710165023803711,556912640.0,0.9582376480102539,0.9582,20,0.4756844937801361,0.4757,20,0.3765794336795807,0.3766,20,0.63070148229599,0.6307,20,0.0361807644367218,0.0362,20,0.011506421491503716,0.0115,20
PubMed,line,sg_aug,100,0.1,1.0,events.out.tfevents.1735874408.d1009,36.05025267601013,7619,0.0004929516580887139,0.0,0.0004929516580887139,325022.21875,0.9556065797805786,0.9556,4,0.47963815927505493,0.4796,4,0.392373651266098,0.3924,4,0.6826490163803101,0.6826,4,0.05738198757171631,0.0574,4,0.03085986338555813,0.0309,4,0.6009573936462402,484895744.0,0.9633442759513855,0.9633,20,0.49158260226249695,0.4916,20,0.44742780923843384,0.4474,20,0.6883988380432129,0.6884,20,0.05645217373967171,0.0565,20,0.028378039598464966,0.0284,20
PubMed,line,sg_aug,100,0.1,1.0,events.out.tfevents.1735875008.d1009,38.96155023574829,10399,-0.0,0.0,0.0,611129.125,0.9479519128799438,0.9480,4,0.4180433750152588,0.4180,4,0.36394405364990234,0.3639,4,0.7260096669197083,0.7260,4,0.07580279558897018,0.0758,4,0.051574766635894775,0.0516,4,0.4321804642677307,413386752.0,0.9514973163604736,0.9515,20,0.4296064078807831,0.4296,20,0.37906137108802795,0.3791,20,0.7281634211540222,0.7282,20,0.07282023131847382,0.0728,20,0.035917334258556366,0.0359,20
PubMed,line,sg_aug,100,0.1,10.0,events.out.tfevents.1735873365.d1009,30.20610022544861,2079,-0.0,0.0,0.0,672586.4375,0.9336507320404053,0.9337,4,0.2190144956111908,0.2190,4,0.07806859165430069,0.0781,4,0.6180282831192017,0.6197,3,0.01926492154598236,0.0220,1,0.0019376244163140655,0.0062,1,0.43997371196746826,667403264.0,0.9431842565536499,0.9432,20,0.2708386182785034,0.2708,20,0.07897111773490906,0.0790,20,0.5906455516815186,0.5906,20,0.016928676515817642,0.0169,20,0.001844724640250206,0.0018,20
