Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,Loss/classifier_loss
ogbl-collab,line,sg_aug,100,0.1,100.0,events.out.tfevents.1733261777.d1019,56.62952995300293,1151,639.194091796875,0.0,639.194091796875,10589547.0,0.5078691840171814,0.5727,0,0.06691928207874298,0.0669,4,0.05487317591905594,0.0549,4,0.4865906238555908,0.5758,0,0.04716602340340614,0.0472,4,0.03410390764474869,0.0361,3,1030641152.0,0.5046330690383911,0.5046,1,0.06789539009332657,0.0679,1,0.05269289389252663,0.0527,1,0.4859387278556824,0.4859,1,0.04775804653763771,0.0478,1,0.03291674703359604,0.0329,1,1.3888418674468994
ogbl-collab,line,sg_aug,1000000000,0.1,0.1,events.out.tfevents.1733262263.d1019,56.79582691192627,1151,3386.6904296875,0.0,3386.6904296875,19692.09765625,0.7365737557411194,0.7367,3,0.1765129566192627,0.1765,4,0.12400971353054047,0.1240,4,0.6994423270225525,0.7003,3,0.12927287817001343,0.1293,4,0.0825616791844368,0.0826,4,1030641152.0,0.7405250668525696,0.7405,1,0.18252496421337128,0.1825,1,0.13211503624916077,0.1321,1,0.7011483907699585,0.7011,1,0.1341383010149002,0.1341,1,0.0860152393579483,0.0860,1,1.71333909034729
ogbl-collab,line,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733262196.d1019,56.83970260620117,1151,3386.6904296875,0.0,3386.6904296875,19692.09765625,0.7417082786560059,0.7417,4,0.17268730700016022,0.1727,4,0.11174355447292328,0.1117,4,0.703006386756897,0.7030,4,0.12935510277748108,0.1294,4,0.07645319402217865,0.0765,4,1030641152.0,0.7410611510276794,0.7411,1,0.17597085237503052,0.1760,1,0.11825111508369446,0.1183,1,0.7024816274642944,0.7025,1,0.131233811378479,0.1312,1,0.08180621266365051,0.0818,1,1.6987022161483765
ogbl-collab,line,sg_aug,1000000000,0.1,10.0,events.out.tfevents.1733262129.d1019,56.94673299789429,1151,3386.6904296875,0.0,3386.6904296875,19692.09765625,0.7310473918914795,0.7310,4,0.1571778506040573,0.1572,4,0.11312495917081833,0.1131,4,0.6900826096534729,0.6901,4,0.11655363440513611,0.1166,4,0.07638844102621078,0.0764,4,1030641152.0,0.7332752346992493,0.7333,1,0.16243986785411835,0.1624,1,0.11642034351825714,0.1164,1,0.6935931444168091,0.6936,1,0.12085539102554321,0.1209,1,0.07859008014202118,0.0786,1,1.6975677013397217
ogbl-collab,line,sg_aug,1000000000,0.1,100.0,events.out.tfevents.1733262059.d1019,56.824697732925415,1151,3386.6904296875,0.0,3386.6904296875,19692.095703125,0.735293984413147,0.7353,4,0.1759437620639801,0.1759,4,0.12081418931484222,0.1208,4,0.7003931403160095,0.7004,4,0.12966272234916687,0.1297,4,0.08137451857328415,0.0814,4,1030641152.0,0.7361085414886475,0.7361,1,0.17560505867004395,0.1756,1,0.126206636428833,0.1262,1,0.7010997533798218,0.7011,1,0.13124056160449982,0.1312,1,0.08525977283716202,0.0853,1,1.6832964420318604
ogbl-collab,n2v,sg,10,0.1,1.0,events.out.tfevents.1733259101.d1019,110.61962080001831,230,214212.875,1118109.5,1332322.375,3913.087646484375,0.9344997406005859,0.9373,2,0.4522888958454132,0.4523,4,0.3238632380962372,0.3239,4,0.9130798578262329,0.9166,2,0.37973371148109436,0.3797,4,0.2637225091457367,0.2637,4,13256060928.0,0.9378547072410583,0.9379,1,0.45319467782974243,0.4532,1,0.3311696946620941,0.3312,1,0.9187734127044678,0.9188,1,0.3801623284816742,0.3802,1,0.26816895604133606,0.2682,1,0.04740774631500244
ogbl-collab,n2v,sg_aug,1,0.1,0.1,events.out.tfevents.1733259581.d1019,102.6038646697998,230,38743.484375,0.0,38743.484375,151744.515625,0.9261148571968079,0.9288,3,0.23356007039546967,0.2336,4,0.0635443702340126,0.0635,4,0.9128488302230835,0.9128,4,0.19261829555034637,0.1926,4,0.04895421862602234,0.0490,4,9004771328.0,0.9321175813674927,0.9321,1,0.23381681740283966,0.2338,1,0.05945010110735893,0.0595,1,0.9176828861236572,0.9177,1,0.19456849992275238,0.1946,1,0.04914848133921623,0.0491,1,0.3009589612483978
ogbl-collab,n2v,sg_aug,1,0.1,1.0,events.out.tfevents.1733259462.d1019,105.67094707489014,230,62591.1171875,0.0,62591.1171875,3424.85107421875,0.9330415725708008,0.9347,3,0.237626314163208,0.2376,4,0.06798814982175827,0.0680,4,0.9217171669006348,0.9221,3,0.1959235519170761,0.1959,4,0.05471734702587128,0.0547,4,9004771328.0,0.9408261179924011,0.9408,1,0.24079741537570953,0.2408,1,0.08546368032693863,0.0855,1,0.92906254529953,0.9291,1,0.19935272634029388,0.1994,1,0.06205616146326065,0.0621,1,0.293721079826355
ogbl-collab,n2v,sg_aug,1,0.1,10.0,events.out.tfevents.1733259345.d1019,104.88579630851746,230,104763.203125,0.0,104763.203125,180.49209594726562,0.9379549026489258,0.9393,3,0.2501290440559387,0.2501,4,0.05617135763168335,0.0568,3,0.9243999719619751,0.9246,3,0.20584741234779358,0.2058,4,0.042198192328214645,0.0422,4,9004771328.0,0.9374747276306152,0.9375,1,0.2555191218852997,0.2555,1,0.0869116559624672,0.0869,1,0.9246968030929565,0.9247,1,0.21172387897968292,0.2117,1,0.06620043516159058,0.0662,1,0.2904793322086334
ogbl-collab,n2v,sg_aug,1,0.1,100.0,events.out.tfevents.1733259228.d1019,103.923668384552,230,133851.46875,0.0,133851.46875,160603.265625,0.9390237927436829,0.9390,4,0.30332261323928833,0.3071,3,0.16440317034721375,0.1644,4,0.9232565760612488,0.9233,4,0.24933946132659912,0.2559,3,0.12370221316814423,0.1237,4,9004771328.0,0.9385280609130859,0.9385,1,0.31777384877204895,0.3178,1,0.1465281844139099,0.1465,1,0.9212434887886047,0.9212,1,0.26654720306396484,0.2665,1,0.11327677965164185,0.1133,1,0.18068067729473114
