Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.1-0.02,line,sg,10,0.01,1.0,events.out.tfevents.1736462422.d1007,55.53101563453674,7534,15.157888412475586,102.80361938476562,117.96150970458984,43.11266326904297,0.7362862825393677,0.7363,4,0.019591568037867546,0.0196,4,0.001203019986860454,0.0022,1,0.5969652533531189,0.5970,4,0.007762358523905277,0.0078,4,0.00020740862237289548,0.0009,1,1.1632685661315918,481560064.0,0.7595588564872742,0.7596,5,0.020714977756142616,0.0207,5,0.0009541192557662725,0.0010,5,0.5981892347335815,0.5982,5,0.008076515048742294,0.0081,5,0.0003525946813169867,0.0004,5
SBM-0.1-0.02,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736462495.d1007,52.81451463699341,7534,0.047665223479270935,0.0,0.047665223479270935,0.11409150809049606,0.7437293529510498,0.7437,4,0.015059161931276321,0.0151,4,0.000331867573549971,0.0015,2,0.6539745330810547,0.6784,2,0.01037503033876419,0.0109,2,0.00033185380743816495,0.0011,1,1.236800193786621,481560064.0,0.7503708600997925,0.7504,5,0.015406213700771332,0.0154,5,0.0005807682755403221,0.0006,5,0.6447321772575378,0.6447,5,0.010015854611992836,0.0100,5,0.00033185380743816495,0.0003,5
SBM-0.1-0.02,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736462565.d1007,53.04933428764343,7534,0.009118283167481422,0.0,0.009118283167481422,20696.31640625,0.5288127660751343,0.5288,4,0.007817032746970654,0.0081,3,0.0005807682755403221,0.0007,3,0.5189105272293091,0.5201,3,0.007483725901693106,0.0076,3,0.0003940763999707997,0.0007,3,1.2561256885528564,481560064.0,0.5292279124259949,0.5292,5,0.00788915529847145,0.0079,5,0.0005392847815528512,0.0005,5,0.5175345540046692,0.5175,5,0.007586742285639048,0.0076,5,0.0006014850223436952,0.0006,5
SBM-0.1-0.02,n2v,sg,10,0.01,1.0,events.out.tfevents.1736462232.d1007,43.838645935058594,79,935332.0625,958166.875,1893499.0,45.36394500732422,0.5203041434288025,0.5246,3,0.007364041171967983,0.0082,1,0.000622251711320132,0.0007,3,0.5124326348304749,0.5143,3,0.007556603755801916,0.0076,0,0.001099265762604773,0.0011,4,1.3717201948165894,3121276416.0,0.5158900618553162,0.5159,5,0.007806931156665087,0.0078,5,0.000663735147099942,0.0007,5,0.5120278596878052,0.5120,5,0.007559795863926411,0.0076,5,0.0004562989925034344,0.0005,5
SBM-0.1-0.02,n2v,sg_aug,100,0.01,100.0,events.out.tfevents.1736462296.d1007,43.03998279571533,79,5416.470703125,0.0,5416.470703125,38641.00390625,0.5099289417266846,0.5099,4,0.007803631480783224,0.0085,3,0.0004978013457730412,0.0007,1,0.501549243927002,0.5015,4,0.007031064480543137,0.0079,1,0.0005392624298110604,0.0008,0,1.2908576726913452,2083241472.0,0.508958101272583,0.5090,5,0.00774513790383935,0.0077,5,0.0005392847815528512,0.0005,5,0.5009567141532898,0.5010,5,0.007127077784389257,0.0071,5,0.0004562989925034344,0.0005,5
SBM-0.1-0.02,n2v,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736462360.d1007,43.143519163131714,79,5416.470703125,0.0,5416.470703125,38641.00390625,0.5096880197525024,0.5097,4,0.007803631480783224,0.0085,3,0.0004978013457730412,0.0007,1,0.5019099116325378,0.5027,1,0.007031064480543137,0.0079,1,0.0005392624298110604,0.0008,0,1.2908576726913452,2083241472.0,0.5091753602027893,0.5092,5,0.00774513790383935,0.0077,5,0.0005392847815528512,0.0005,5,0.5020567178726196,0.5021,5,0.007127077784389257,0.0071,5,0.0004562989925034344,0.0005,5
SBM-0.1-0.04,line,sg,10,0.01,1.0,events.out.tfevents.1736462837.d1007,64.61615777015686,8769,15.532564163208008,109.03450775146484,124.56707000732422,23.91246223449707,0.732506513595581,0.7325,4,0.01970561034977436,0.0197,4,0.00039201712934300303,0.0013,1,0.5094998478889465,0.5160,1,0.0063539426773786545,0.0075,0,7.127329445211217e-05,0.0005,1,1.0906505584716797,513715200.0,0.7515643835067749,0.7516,5,0.020752307027578354,0.0208,5,0.00046329296310432255,0.0005,5,0.5107766389846802,0.5108,5,0.006362187676131725,0.0064,5,1.7818323613028042e-05,0.0000,5
SBM-0.1-0.04,line,sg_aug,100,0.01,1.0,events.out.tfevents.1736462919.d1007,61.06677603721619,8769,0.06419512629508972,0.0,0.06419512629508972,1.0977299213409424,0.6927065253257751,0.6927,4,0.014218568801879883,0.0142,4,0.00028510336414910853,0.0010,1,0.5236216187477112,0.5299,1,0.007001776713877916,0.0075,1,0.00023163820151239634,0.0006,1,1.155976414680481,513715200.0,0.7175443768501282,0.7175,5,0.015244340524077415,0.0152,5,0.00017818959895521402,0.0002,5,0.525868833065033,0.5259,5,0.0073011028580367565,0.0073,5,0.0001247282634722069,0.0001,5
SBM-0.1-0.04,line,sg_aug,1000000000,0.01,0.1,events.out.tfevents.1736462994.d1007,33.771735191345215,8769,0.00652346620336175,0.0,0.00652346620336175,26227.240234375,0.5106155872344971,0.5106,1,0.00768551928922534,0.0077,1,0.000427655060775578,0.0005,0,0.5025067925453186,0.5025,1,0.0074453470297157764,0.0074,1,0.0003741848049685359,0.0005,0,1.2720081806182861,,,,,,,,,,,,,,,,,,,
SBM-0.1-0.04,n2v,sg,10,0.01,1.0,events.out.tfevents.1736462638.d1007,50.059353828430176,79,932741.0,951735.375,1884476.375,45.875396728515625,0.5060666799545288,0.5061,4,0.007762542925775051,0.0078,4,0.0005345687968656421,0.0008,0,0.5000169277191162,0.5015,0,0.0072027165442705154,0.0076,2,0.0003741848049685359,0.0007,0,1.352339506149292,3121276416.0,0.5092230439186096,0.5092,5,0.007582514546811581,0.0076,5,0.000641482591163367,0.0006,5,0.5012392997741699,0.5012,5,0.007402084302157164,0.0074,5,0.0006592779536731541,0.0007,5
SBM-0.1-0.04,n2v,sg_aug,100,0.01,100.0,events.out.tfevents.1736462709.d1007,49.0289261341095,79,5674.6533203125,0.0,5674.6533203125,38639.80078125,0.5038894414901733,0.5078,1,0.00716056814417243,0.0078,1,0.00039201712934300303,0.0006,2,0.5014705061912537,0.5019,3,0.007610257714986801,0.0076,4,0.0004989130538888276,0.0007,0,1.3348984718322754,2083241472.0,0.5056679248809814,0.5057,5,0.007984410040080547,0.0080,5,0.000427655060775578,0.0004,5,0.5011951923370361,0.5012,5,0.0073418933898210526,0.0073,5,0.0006058230064809322,0.0006,5
