Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
Cora,line,sg_aug,100,0.1,100.0,events.out.tfevents.1733356225.d1024,4.780045747756958,1319,0.0003787635359913111,0.0,0.0003787635359913111,32941.546875,0.9628613591194153,0.9629,4,0.2997024953365326,0.2997,4,0.10721062868833542,0.1157,3,0.6772144436836243,0.6772,4,0.04430728033185005,0.0443,4,0.00995260663330555,0.0152,1,0.5960942506790161,296295424.0,0.972412645816803,0.9724,20,0.3146122992038727,0.3146,20,0.12713472545146942,0.1271,20,0.6759341955184937,0.6759,20,0.043036043643951416,0.0430,20,0.006635070778429508,0.0066,20
Cora,line,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733356237.d1024,2.3015904426574707,131,0.0003951279213652015,0.0,0.0003951279213652015,917.9366455078125,0.9403278231620789,0.9403,4,0.2880726754665375,0.2881,4,0.11005692183971405,0.1101,4,0.656424880027771,0.6564,4,0.03416435047984123,0.0351,3,0.005687203723937273,0.0081,3,0.6559038162231445,296295424.0,0.9598643183708191,0.9599,2,0.3080615997314453,0.3081,2,0.10436432808637619,0.1044,2,0.6718381643295288,0.6718,2,0.038769833743572235,0.0388,2,0.0071090045385062695,0.0071,2
Cora,n2v,sg,-1,0.1,1.0,events.out.tfevents.1733356080.d1024,52.82963490486145,439,28618.0,124553.953125,153171.953125,150.81080627441406,0.9950351715087891,0.9971,3,0.47998490929603577,0.4800,4,0.18121442198753357,0.1812,4,0.8146129846572876,0.8291,1,0.14372338354587555,0.1437,4,0.015639809891581535,0.0322,3,0.12067044526338577,11372784640.0,0.9964833855628967,0.9965,20,0.46225130558013916,0.4623,20,0.15939278900623322,0.1594,20,0.8001099228858948,0.8001,20,0.14199015498161316,0.1420,20,0.0199052132666111,0.0199,20
Cora,n2v,sg,10,0.1,1.0,events.out.tfevents.1733356037.d1024,33.94337797164917,439,26361.197265625,120598.75,146959.953125,55.619815826416016,0.9957789182662964,0.9958,4,0.44920727610588074,0.4492,4,0.15085388720035553,0.1509,4,0.8569454550743103,0.8587,3,0.15263304114341736,0.1526,4,0.031753554940223694,0.0322,1,0.1836996227502823,3121920512.0,0.9911450743675232,0.9911,20,0.4143467843532562,0.4143,20,0.0683111920952797,0.0683,20,0.8571490049362183,0.8571,20,0.14220386743545532,0.1422,20,0.0199052132666111,0.0199,20
Cora,n2v,sg_aug,10,0.1,100.0,events.out.tfevents.1733356144.d1024,30.72377872467041,439,53.75917053222656,0.0,53.75917053222656,911.8082885742188,0.9849526882171631,0.9850,4,0.24590004980564117,0.2459,4,0.03320683166384697,0.0579,3,0.8083099722862244,0.8213,3,0.11421553045511246,0.1142,4,0.021800948306918144,0.0218,3,0.3222409188747406,2084697600.0,0.9834833145141602,0.9835,20,0.2278786599636078,0.2279,20,0.05882352963089943,0.0588,20,0.808739423751831,0.8087,20,0.11426323652267456,0.1143,20,0.027962084859609604,0.0280,20
Cora,n2v,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733356184.d1024,4.4482033252716064,43,35.62104797363281,0.0,35.62104797363281,73625.109375,0.9863545298576355,0.9864,4,0.19101974368095398,0.1910,4,0.039848197251558304,0.0398,4,0.8321038484573364,0.8321,4,0.08478056639432907,0.0848,4,0.018483411520719528,0.0213,2,0.25005510449409485,2084697600.0,0.9866421222686768,0.9866,2,0.18823081254959106,0.1882,2,0.04933586344122887,0.0493,2,0.8319998383522034,0.8320,2,0.08292846381664276,0.0829,2,0.022274881601333618,0.0223,2
PubMed,line,sg,-1,0.1,1.0,events.out.tfevents.1733357310.d1024,45.0450005531311,11099,-0.0,103.6163330078125,103.6163330078125,4248.5859375,0.8733482360839844,0.8733,4,0.13905584812164307,0.1391,4,0.055843863636255264,0.0558,4,0.6886174082756042,0.6886,4,0.055373676121234894,0.0563,3,0.016132671386003494,0.0274,1,0.3963916301727295,395253248.0,0.8803550601005554,0.8804,20,0.14831215143203735,0.1483,20,0.06656137108802795,0.0666,20,0.6886805295944214,0.6887,20,0.05713028460741043,0.0571,20,0.018501805141568184,0.0185,20
PubMed,line,sg,10,0.1,1.0,events.out.tfevents.1733357256.d1024,44.91762042045593,11099,69.07755279541016,172.69387817382812,241.77142333984375,10314.1328125,0.8431116938591003,0.8431,4,0.1314726173877716,0.1315,4,0.048736460506916046,0.0504,2,0.67794269323349,0.6779,4,0.05609612911939621,0.0573,3,0.019968410953879356,0.0271,2,0.6661929488182068,395253248.0,0.8562505841255188,0.8563,20,0.1439024657011032,0.1439,20,0.06385379284620285,0.0639,20,0.6868774890899658,0.6869,20,0.05458305776119232,0.0546,20,0.025665612891316414,0.0257,20
PubMed,line,sg_aug,1,0.1,1.0,events.out.tfevents.1733357363.d1024,46.52085328102112,11099,-0.0,0.0,0.0,590.8787841796875,0.9252125024795532,0.9252,4,0.40130460262298584,0.4013,4,0.35649818181991577,0.3565,4,0.728085458278656,0.7296,3,0.07687100023031235,0.0769,4,0.06024368107318878,0.0607,2,0.4027960002422333,396034560.0,0.9289351105690002,0.9289,20,0.4125558137893677,0.4126,20,0.3831227421760559,0.3831,20,0.7338392734527588,0.7338,20,0.0795271247625351,0.0795,20,0.05042869970202446,0.0504,20
PubMed,line,sg_aug,100,0.1,1.0,events.out.tfevents.1733357419.d1024,40.22247004508972,11099,-0.0,0.0,0.0,612326.4375,0.9499068260192871,0.9499,4,0.4073861539363861,0.4074,4,0.3372066617012024,0.3372,4,0.7312957048416138,0.7313,4,0.07720877230167389,0.0772,4,0.054490070790052414,0.0545,4,0.2459937185049057,395253248.0,0.9568502902984619,0.9569,20,0.432853102684021,0.4329,20,0.38391244411468506,0.3839,20,0.7310448288917542,0.7310,20,0.08078669756650925,0.0808,20,0.054715704172849655,0.0547,20
PubMed,line,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733357468.d1024,17.341833114624023,1109,-0.0,0.0,0.0,11278.947265625,0.9317460656166077,0.9317,4,0.4307098686695099,0.4307,4,0.37082579731941223,0.3841,3,0.7082535028457642,0.7083,4,0.06960505992174149,0.0696,4,0.03457807004451752,0.0346,4,0.14305873215198517,395253248.0,0.9405288696289062,0.9405,2,0.4522542655467987,0.4523,2,0.4165162444114685,0.4165,2,0.7167128920555115,0.7167,2,0.0674746111035347,0.0675,2,0.03858303278684616,0.0386,2
PubMed,n2v,sg,-1,0.1,1.0,events.out.tfevents.1733356691.d1024,341.9099543094635,3099,9136.0322265625,33187.84375,42323.875,2277.430419921875,0.9970051646232605,0.9970,4,0.5681785941123962,0.5804,3,0.2811371684074402,0.3102,3,0.7762675881385803,0.8146,2,0.1729399412870407,0.1783,3,0.04681859165430069,0.0874,3,1.3944045305252075,11406661632.0,0.9908087849617004,0.9908,20,0.5983722805976868,0.5984,20,0.27662456035614014,0.2766,20,0.7649316191673279,0.7649,20,0.18088167905807495,0.1809,20,0.037793319672346115,0.0378,20
PubMed,n2v,sg,10,0.1,1.0,events.out.tfevents.1733356481.d1024,198.00797724723816,3099,7714.3017578125,29151.2265625,36865.52734375,109220.78125,0.9932515621185303,0.9953,3,0.5315635204315186,0.5316,4,0.07615072280168533,0.2608,3,0.8433384895324707,0.8433,4,0.19378837943077087,0.1938,4,0.014440433122217655,0.0752,3,0.20024658739566803,3157455360.0,0.9965672492980957,0.9966,20,0.5308724641799927,0.5309,20,0.2914034426212311,0.2914,20,0.841109573841095,0.8411,20,0.18709918856620789,0.1871,20,0.057254061102867126,0.0573,20
PubMed,n2v,sg_aug,100,0.1,100.0,events.out.tfevents.1733357043.d1024,163.4713089466095,3099,-0.0,0.0,0.0,589001.25,0.9736499190330505,0.9736,4,0.17235803604125977,0.1724,4,0.007220216561108828,0.0072,4,0.7651556134223938,0.7877,2,0.09721042215824127,0.0972,4,0.005302346311509609,0.0053,4,0.14393851161003113,2121478656.0,0.9756575226783752,0.9757,20,0.17288090288639069,0.1729,20,0.01387635339051485,0.0139,20,0.7502249479293823,0.7502,20,0.09456520527601242,0.0946,20,0.006430505309253931,0.0064,20
