Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100
SBM-0.1-0.002,line,sg,10,0.01,0.0,1.0,1.0,02-05-01h59m,38.765645027160645,6409,2.48602557182312,28.83767318725586,31.323698043823242,0.0,14028288.0,0.7304571866989136,0.014764020219445229,9.757049701875076e-05,0.000439067225670442,0.0009269197471439838,0.0021465509198606014,0.7193640470504761,0.01208631880581379,0.0,0.00029269722290337086,0.0010732230730354786,0.0018537490395829082,1.1439943313598633,0.7725664377212524,0.018298806622624397,0.0,0.0007805639761500061,0.0011220606975257397,0.002390477107837796,0.7522357106208801,0.012748862616717815,2.439143463561777e-05,0.00034148007398471236,0.0013171375030651689,0.001975706312805414
SBM-0.1-0.002,line,sg_aug,10,0.01,1.0,1.0,1.0,02-05-02h00m,36.41772413253784,6409,0.003121313638985157,0.0,0.003121313638985157,0.0001319711736869067,13894144.0,0.7703337073326111,0.014431779272854328,0.0,0.000439067225670442,0.0013659870019182563,0.0020001952070742846,0.7518290281295776,0.01330944150686264,0.0,0.0002439143427181989,0.0009268745197914541,0.0022927948739379644,1.1779288053512573,0.7731616497039795,0.015467233955860138,4.878524850937538e-05,0.0006342082051560283,0.0011708459351211786,0.0021953361574560404,0.7518348693847656,0.012736276723444462,2.439143463561777e-05,0.0002439143427181989,0.0007561344536952674,0.0020000976510345936
SBM-0.1-0.002,line,sg_aug,100,0.01,1.0,1.0,1.0,02-05-02h00m,36.13041090965271,6409,0.005549202673137188,0.0,0.005549202673137188,0.0023768069222569466,13894144.0,0.7642148733139038,0.01438523456454277,0.0,0.0007317787385545671,0.0012196311727166176,0.001756268902681768,0.752418577671051,0.013284124433994293,2.439143463561777e-05,0.000512220140080899,0.0009024830651469529,0.0020976634696125984,1.1768486499786377,0.7709338665008545,0.015369263477623463,0.0,0.00034149675047956407,0.0010732754599303007,0.0019514099694788456,0.7538560032844543,0.012996714562177658,0.0,0.00046343725989572704,0.0011707888916134834,0.0024879262782633305
SBM-0.1-0.002,line,sg_aug,1000000000,0.01,0.1,1.0,1.0,02-05-02h01m,19.37178134918213,6409,0.004532918334007263,0.0,0.004532918334007263,11587.2265625,13894144.0,0.4991132915019989,0.006962725892663002,0.0,9.757049701875076e-05,0.00039028198807500303,0.0010732754599303007,0.49645036458969116,0.007298099808394909,0.0,0.00014634861145168543,0.0003170886484440416,0.0007805259083397686,1.1777820587158203,,,,,,,,,,,,
SBM-0.1-0.002,n2v,sg,10,0.01,0.0,1.0,1.0,02-05-01h56m,30.045976400375366,79,692165.5,1088759.25,1780924.75,0.0,3120247296.0,0.7651385068893433,0.014393032528460026,4.878524850937538e-05,0.0005366377299651504,0.0009757049847394228,0.0021465509198606014,0.755829930305481,0.013098960742354393,0.0,0.0004390458343550563,0.0007073516026139259,0.001439094659872353,1.1226832866668701,0.7654362916946411,0.014714924618601799,4.878524850937538e-05,0.00019514099403750151,0.0009269197471439838,0.0014635574771091342,0.7542746663093567,0.013122639618813992,2.439143463561777e-05,0.00046343725989572704,0.0013171375030651689,0.002439143368974328
SBM-0.1-0.002,n2v,sg_aug,10,0.01,100.0,1.0,1.0,02-05-01h57m,29.07167625427246,79,23649.4453125,0.0,23649.4453125,27197.22265625,2083241472.0,0.5315458178520203,0.007488256320357323,0.0,0.0,0.00029271148378029466,0.0006342082051560283,0.5260940790176392,0.0072614047676324844,0.0,7.317430572584271e-05,0.0003170886484440416,0.0008293087594211102,1.1661908626556396,0.504368245601654,0.00800023227930069,0.0,4.878524850937538e-05,4.878524850937538e-05,9.757049701875076e-05,0.5017939805984497,0.007687189616262913,0.0,0.0,4.878286927123554e-05,0.00017074003699235618
SBM-0.1-0.002,n2v,sg_aug,100,0.01,100.0,1.0,1.0,02-05-01h57m,28.86342215538025,79,7957.71484375,0.0,7957.71484375,35669.78515625,2083241472.0,0.5080129504203796,0.007901228964328766,0.0,0.00014635574189014733,0.00019514099403750151,0.0005854229675605893,0.5060288310050964,0.007837054319679737,4.878286927123554e-05,0.00019513147708494216,0.0003902629541698843,0.000609785842243582,1.1921058893203735,0.5046934485435486,0.007468145806342363,0.0,0.0,0.00014635574189014733,0.0002439262461848557,0.504768431186676,0.007657441310584545,0.0,2.439143463561777e-05,0.00012195717135909945,0.00034148007398471236
SBM-0.1-0.002,n2v,sg_aug,1000000000,0.01,0.1,1.0,1.0,02-05-01h58m,28.971179962158203,79,7957.71484375,0.0,7957.71484375,35669.78125,2083241472.0,0.5082176923751831,0.007901228964328766,0.0,0.00014635574189014733,0.00019514099403750151,0.0005854229675605893,0.505083441734314,0.007837054319679737,4.878286927123554e-05,0.00019513147708494216,0.0003902629541698843,0.000609785842243582,1.1921058893203735,0.5031538605690002,0.007468145806342363,0.0,0.0,0.00014635574189014733,0.0002439262461848557,0.503234326839447,0.007657441310584545,0.0,2.439143463561777e-05,0.00012195717135909945,0.00034148007398471236
SBM-0.1-0.01,line,sg,10,0.01,0.0,1.0,1.0,02-05-02h05m,41.77411127090454,6909,5.994222640991211,77.63810729980469,83.63233184814453,0.0,14028288.0,0.7204131484031677,0.016122521832585335,0.0,0.0006786716403439641,0.0012216089526191354,0.002669441746547818,0.7073830366134644,0.011055544018745422,0.0,0.00027146865613758564,0.0007917835609987378,0.0016966790426522493,1.1209007501602173,0.7477346658706665,0.018425997346639633,0.0,0.0006334268255159259,0.00131209846585989,0.0038910505827516317,0.716203510761261,0.011700131930410862,0.0,0.00018097909924108535,0.0005881820688955486,0.0012894760584458709
SBM-0.1-0.01,line,sg_aug,10,0.01,1.0,1.0,1.0,02-05-02h06m,39.65029454231262,6909,0.018184836953878403,0.0,0.018184836953878403,0.00036796857602894306,13894144.0,0.7329434752464294,0.014504981227219105,9.048954962054268e-05,0.00040720298420637846,0.0009048954816535115,0.0017193014500662684,0.7180557250976562,0.012071521952748299,2.262238740513567e-05,0.00022622387041337788,0.0005655596614815295,0.0015156998997554183,1.1343815326690674,0.7522475123405457,0.015429576858878136,0.0,0.00040720298420637846,0.0010858746245503426,0.0025337073020637035,0.7170942425727844,0.011855760589241982,0.0,0.00022622387041337788,0.00047507014824077487,0.0012216089526191354
