Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100
SBM-0.1-0.01,line,sg,10,0.1,0.0,1.0,1.0,02-05-00h38m,2.233210563659668,214,73.25379943847656,900.5728759765625,973.82666015625,0.0,10176000.0,0.5188555121421814,0.00941244512796402,0.0,0.0,0.0,0.0,0.5119427442550659,0.008063269779086113,0.0,0.0007342143799178302,0.0007342143799178302,0.0014684287598356605,1.3747421503067017,0.5273903012275696,0.007937287911772728,0.0,0.0,0.0,0.0,0.5018623471260071,0.006431213114410639,0.0007342143799178302,0.0014684287598356605,0.0022026430815458298,0.002936857519671321
SBM-0.1-0.01,line,sg_aug,10,0.1,1.0,1.0,1.0,02-05-00h39m,2.1549878120422363,214,0.003040262497961521,0.0,0.003040262497961521,0.00025456491857767105,10041856.0,0.6055723428726196,0.0036106968764215708,0.0,0.0,0.0,0.0,0.5431250929832458,0.0032113566994667053,0.0,0.0,0.0,0.0,1.1976022720336914,0.6110846400260925,0.00392547994852066,0.0,0.0,0.0,0.0,0.5363590717315674,0.004328354261815548,0.0,0.0007342143799178302,0.0007342143799178302,0.0007342143799178302
SBM-0.1-0.01,line,sg_aug,100,0.1,1.0,1.0,1.0,02-05-00h39m,2.149775743484497,214,0.0029385010711848736,0.0,0.0029385010711848736,2.2198991775512695,10041856.0,0.5220847725868225,0.010629595257341862,0.0,0.0,0.0,0.0,0.5056631565093994,0.0053149741142988205,0.0,0.0,0.0,0.0,1.3495186567306519,0.5668666958808899,0.0063793896697461605,0.0029411765281111,0.010294117964804173,0.013235294260084629,0.013235294260084629,0.5263647437095642,0.0030949146021157503,0.0,0.0,0.0,0.0007342143799178302
SBM-0.1-0.01,line,sg_aug,1000000000,0.1,0.1,1.0,1.0,02-05-00h39m,2.142066240310669,214,0.00028385527548380196,0.0,0.00028385527548380196,2488.20068359375,10041856.0,0.6176936626434326,0.015957944095134735,0.0,0.0,0.0029411765281111,0.0029411765281111,0.5293124318122864,0.008921635337173939,0.0,0.0,0.0014684287598356605,0.0022026430815458298,1.3141345977783203,0.6354734301567078,0.020347844809293747,0.0,0.0,0.004411764908581972,0.0117647061124444,0.5524280667304993,0.010235577821731567,0.0,0.0,0.0007342143799178302,0.0022026430815458298
SBM-0.1-0.01,n2v,sg,10,0.1,0.0,1.0,1.0,02-05-00h37m,4.328136682510376,19,628482.25,716237.4375,1344719.75,0.0,3117163008.0,0.694516658782959,0.01398860476911068,0.0,0.0,0.0,0.0,0.555691123008728,0.010285057127475739,0.0,0.0,0.0007342143799178302,0.0007342143799178302,1.1636581420898438,0.7691929936408997,0.016967525705695152,0.0,0.0,0.0,0.0,0.5828719139099121,0.009778223931789398,0.0,0.0,0.0007342143799178302,0.0022026430815458298
SBM-0.1-0.01,n2v,sg_aug,10,0.1,100.0,1.0,1.0,02-05-00h38m,4.184123992919922,19,-0.0,0.0,0.0,28114.681640625,2080157184.0,0.46582433581352234,0.006854057312011719,0.0,0.0,0.0,0.00147058826405555,0.48601120710372925,0.0068054525181651115,0.0,0.0,0.0007342143799178302,0.0007342143799178302,1.388389229774475,0.5496086478233337,0.007853662595152855,0.0,0.0,0.0,0.0,0.5083327889442444,0.00850367546081543,0.0,0.0,0.0007342143799178302,0.0014684287598356605
SBM-0.1-0.01,n2v,sg_aug,100,0.1,100.0,1.0,1.0,02-05-00h38m,4.2689290046691895,19,-0.0,0.0,0.0,36011.83984375,2080157184.0,0.5200653076171875,0.009137822315096855,0.0,0.0,0.0029411765281111,0.004411764908581972,0.5018541812896729,0.007628085091710091,0.0,0.0,0.0,0.0,1.3856486082077026,0.5329508185386658,0.00900337751954794,0.0,0.00147058826405555,0.004411764908581972,0.004411764908581972,0.4994599521160126,0.007161792367696762,0.0,0.0,0.0,0.0
SBM-0.1-0.01,n2v,sg_aug,1000000000,0.1,0.1,1.0,1.0,02-05-00h38m,4.1927268505096436,19,-0.0,0.0,0.0,36011.8359375,2080157184.0,0.5424575805664062,0.009137822315096855,0.0,0.0,0.0029411765281111,0.004411764908581972,0.4868486225605011,0.007628085091710091,0.0,0.0,0.0,0.0,1.3856486082077026,0.5716541409492493,0.00900337751954794,0.0,0.00147058826405555,0.004411764908581972,0.004411764908581972,0.48804816603660583,0.007161792367696762,0.0,0.0,0.0,0.0
SBM-0.1-0.02,n2v,sg,10,0.1,0.0,1.0,1.0,02-05-00h39m,4.567000389099121,19,640197.125,712265.0625,1352462.25,0.0,3117163008.0,0.6179118752479553,0.012362711131572723,0.0,0.001149425283074379,0.001149425283074379,0.001149425283074379,0.5123592019081116,0.006932859309017658,0.0,0.001149425283074379,0.001149425283074379,0.001149425283074379,1.30613374710083,0.636468231678009,0.014139591716229916,0.0,0.0,0.001149425283074379,0.002298850566148758,0.5239006280899048,0.007695633918046951,0.0,0.0,0.0,0.003448275849223137
SBM-0.1-0.02,n2v,sg_aug,100,0.1,100.0,1.0,1.0,02-05-00h40m,4.48906397819519,19,-0.0,0.0,0.0,36417.4375,2080157184.0,0.5,0.001995987491682172,0.0,0.0,0.0,0.0,0.5,0.0019959828350692987,0.0,0.0,0.0,0.0,1.3862946033477783,0.5,0.001995994243770838,0.0,0.0,0.0,0.0,0.5,0.0019959737546741962,0.0,0.0,0.0,0.0
