Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.12,line,sg_aug,1000000000,0.1,0.1,56,,69.07755279541016,0.0,69.07755279541016,7388526592.0,13797888.0,0.5005150437355042,0.5011,4,0.005802130326628685,0.0058,5,0.0,0.0000,1,0.49874207377433777,0.5011,2,0.005821113009005785,0.0060,1,1.6606605640845373e-05,0.0000,4
SBM-0.2-0.16,line,sg,10,0.1,1.0,71,,276.3102111816406,7943.982421875,8220.29296875,4799199744.0,14065152.0,0.5014416575431824,0.5021,1,0.006395927630364895,0.0064,2,0.0,0.0001,2,0.5004726052284241,0.5020,1,0.006414072588086128,0.0064,1,5.5550925026182085e-05,0.0001,1
SBM-0.2-0.16,line,sg_aug,10,0.1,0.1,64,,72.1402587890625,0.0,72.1402587890625,1931038.625,13797888.0,0.5010367631912231,0.5015,4,0.006794039160013199,0.0068,1,0.0,0.0002,2,0.5020703077316284,0.5021,5,0.006806088611483574,0.0069,3,6.94386544637382e-05,0.0002,3
SBM-0.2-0.16,line,sg_aug,1000000,0.1,0.1,68,,-0.0,0.0,0.0,408318208.0,13797888.0,0.5040004253387451,0.5043,3,0.007077817339450121,0.0071,5,0.0002777546178549528,0.0003,1,0.5006393194198608,0.5008,4,0.0068404097110033035,0.0069,1,0.0003055300912819803,0.0005,1
SBM-0.2-0.16,line,sg_aug,1000000000,0.1,0.1,63,,-0.0,0.0,0.0,8019156480.0,13797888.0,0.5018300414085388,0.5034,2,0.00581751111894846,0.0059,1,0.0,0.0000,1,0.5019682049751282,0.5022,2,0.005732906982302666,0.0058,4,1.3887731256545521e-05,0.0000,3
SBM-0.2-0.2,line,sg,10,0.1,1.0,70,,276.3102111816406,7943.982421875,8220.29296875,4799199744.0,14065152.0,0.501029372215271,0.5024,3,0.006395927630364895,0.0064,2,0.0,0.0001,2,0.5011939406394958,0.5023,1,0.006414072588086128,0.0064,1,5.5550925026182085e-05,0.0001,1
SBM-0.2-0.2,line,sg_aug,10,0.1,0.1,64,,72.1402587890625,0.0,72.1402587890625,1931038.625,13797888.0,0.5038387179374695,0.5038,5,0.006794039160013199,0.0068,1,0.0,0.0002,2,0.5003800988197327,0.5004,5,0.006806088611483574,0.0069,3,6.94386544637382e-05,0.0002,3
SBM-0.2-0.2,line,sg_aug,1000000,0.1,0.1,64,,-0.0,0.0,0.0,408318208.0,13797888.0,0.5027247071266174,0.5028,1,0.007077817339450121,0.0071,5,0.0002777546178549528,0.0003,1,0.5000534653663635,0.5001,5,0.0068404097110033035,0.0069,1,0.0003055300912819803,0.0005,1
SBM-0.2-0.2,line,sg_aug,1000000000,0.1,0.1,67,,-0.0,0.0,0.0,8019156480.0,13797888.0,0.5005455017089844,0.5005,5,0.00581751111894846,0.0059,1,0.0,0.0000,1,0.4982339143753052,0.4993,1,0.005732906982302666,0.0058,4,1.3887731256545521e-05,0.0000,3
SBM-0.4-0.004,line,sg,10,0.1,1.0,78,,-0.0,4110.1142578125,4110.1142578125,16812006.0,14065152.0,0.8092565536499023,0.8093,5,0.011571650393307209,0.0116,3,9.903196041705087e-05,0.0002,4,0.8076477646827698,0.8081,2,0.011514847166836262,0.0115,4,0.00025995890609920025,0.0003,5
SBM-0.4-0.004,line,sg_aug,10,0.1,0.1,77,,0.10710609704256058,0.0,0.10710609704256058,2961801.0,13797888.0,0.7995431423187256,0.8007,2,0.012631421908736229,0.0127,4,0.0,0.0006,4,0.8026499152183533,0.8054,2,0.012035435065627098,0.0122,2,1.2378995052131359e-05,0.0000,3
SBM-0.4-0.004,line,sg_aug,1000000,0.1,0.1,76,,-0.0,0.0,0.0,848842496.0,13797888.0,0.5046426653862,0.5047,2,0.0067835780791938305,0.0069,2,0.0005446758004836738,0.0006,4,0.5054956078529358,0.5056,4,0.00670351879671216,0.0067,5,0.0004456438182387501,0.0005,1
SBM-0.4-0.004,line,sg_aug,1000000000,0.1,0.1,73,,103.6163330078125,0.0,103.6163330078125,5111369728.0,13797888.0,0.751505970954895,0.7515,5,0.00937295239418745,0.0094,4,0.0,0.0001,2,0.7502207159996033,0.7502,5,0.009600707329809666,0.0096,4,0.0,0.0000,1
SBM-0.6-0.004,line,sg,10,0.1,1.0,126,,34.53877639770508,2970.334716796875,3004.87353515625,31596498.0,14065152.0,0.8525974154472351,0.8526,5,0.011604296043515205,0.0118,3,0.000331669463776052,0.0004,1,0.8530665636062622,0.8535,3,0.011868705041706562,0.0120,4,0.0003150859847664833,0.0005,1
SBM-0.6-0.004,line,sg_aug,10,0.1,0.1,117,,0.09428420662879944,0.0,0.09428420662879944,1165098.625,13797888.0,0.8526850938796997,0.8535,1,0.012456820346415043,0.0125,4,0.0,0.0001,3,0.8530442118644714,0.8534,1,0.012368147261440754,0.0124,4,0.0,0.0000,2
SBM-0.6-0.004,line,sg_aug,1000000,0.1,0.1,119,,-0.0,0.0,0.0,1076727552.0,13797888.0,0.5231366753578186,0.5231,5,0.007025456987321377,0.0071,2,0.0007130893645808101,0.0007,3,0.5223951935768127,0.5226,3,0.007014872040599585,0.0070,2,0.000522379414178431,0.0006,2
SBM-0.6-0.004,line,sg_aug,1000000000,0.1,0.1,118,,-0.0,0.0,0.0,5214717440.0,13797888.0,0.8142939209938049,0.8143,5,0.010211368091404438,0.0102,5,0.0,0.0000,1,0.8144204616546631,0.8144,5,0.010003764182329178,0.0100,4,0.0,0.0000,2
SBM-0.8-0.004,line,sg,10,0.1,1.0,176,,-0.0,4420.962890625,4420.962890625,38615560.0,14065152.0,0.9170989394187927,0.9173,4,0.012031174264848232,0.0120,2,0.0004754397668875754,0.0005,1,0.9149482846260071,0.9153,3,0.011865842156112194,0.0120,4,0.00040662611718289554,0.0005,1
SBM-0.8-0.004,line,sg_aug,10,0.1,0.1,168,,0.7307053804397583,0.0,0.7307053804397583,6456639.5,13797888.0,0.9151247143745422,0.9152,4,0.012335019186139107,0.0125,4,1.25115730043035e-05,0.0002,4,0.9166104793548584,0.9167,1,0.01256119180470705,0.0126,2,0.00021895252575632185,0.0002,5
SBM-0.8-0.004,line,sg_aug,1000000,0.1,0.1,170,,-0.0,0.0,0.0,1194227584.0,13797888.0,0.5682984590530396,0.5684,3,0.007730456069111824,0.0077,3,0.0006130670662969351,0.0007,4,0.5694293975830078,0.5694,5,0.007629530504345894,0.0076,5,0.0007319269934669137,0.0007,5
SBM-0.8-0.004,line,sg_aug,1000000000,0.1,0.1,168,,-0.0,0.0,0.0,5010065920.0,13797888.0,0.8885800242424011,0.8886,5,0.01018755603581667,0.0102,5,0.0,0.0001,4,0.8892064690589905,0.8892,5,0.010277892462909222,0.0103,5,0.000100092584034428,0.0001,5
SBM-0.95-0.004,line,sg,10,0.1,1.0,226,,-0.0,1726.9388427734375,1726.9388427734375,66733592.0,14065152.0,0.9747710824012756,0.9749,2,0.012127119116485119,0.0122,4,0.0004212876665405929,0.0006,3,0.9756012558937073,0.9757,4,0.011931742541491985,0.0120,4,0.0004160215612500906,0.0004,5
SBM-0.95-0.004,line,sg_aug,10,0.1,0.1,213,,0.49622875452041626,0.0,0.49622875452041626,831096.625,13797888.0,0.9748523831367493,0.9749,2,0.01270793005824089,0.0127,5,0.0,0.0001,1,0.9755229353904724,0.9755,4,0.012440117076039314,0.0125,1,0.0,0.0000,3
SBM-0.95-0.004,line,sg_aug,1000000,0.1,0.1,208,,-0.0,0.0,0.0,1305035136.0,13797888.0,0.5846690535545349,0.5847,5,0.007694292813539505,0.0078,4,0.0004212876665405929,0.0007,4,0.5833710432052612,0.5834,3,0.007893186993896961,0.0079,4,0.0005055451765656471,0.0009,3
SBM-0.95-0.004,line,sg_aug,1000000000,0.1,0.1,217,,-0.0,0.0,0.0,5047191040.0,13797888.0,0.9490137696266174,0.9490,5,0.010525569319725037,0.0105,5,0.0,0.0001,3,0.949415922164917,0.9494,5,0.010512242093682289,0.0106,4,0.0,0.0000,3
