Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,,,,,,,
SBM-0.2-0.08,n2v,sg_aug,-1,0.1,0.1,205,25,0.508084118,0.5081,25,,,,,,,
SBM-0.2-0.08,n2v,sg_aug,10,0.1,0.1,152,,0.50543642,0.5075,25,,,,,,,
SBM-0.2-0.08,n2v,sg_aug,1000000,0.1,0.1,153,,0.498448074,0.4986,5,,,,,,,
SBM-0.2-0.1,n2v,sg,-1,0.1,1,226,25,0.524735987,0.5348,6,,,,,,,
SBM-0.2-0.1,n2v,sg,10,0.1,1,155,,0.513558209,0.5273,7,,,,,,,
SBM-0.2-0.1,n2v,sg_aug,-1,0.1,0.1,203,25,0.507961869,0.508,25,,,,,,,
SBM-0.2-0.1,n2v,sg_aug,10,0.1,0.1,148,,0.505602598,0.5059,21,,,,,,,
SBM-0.2-0.1,n2v,sg_aug,1000000,0.1,0.1,149,,0.500009656,0.5002,14,,,,,,,
SBM-0.2-0.12,n2v,sg,-1,0.1,1,226,25,0.521141648,0.5375,6,,,,,,,
SBM-0.2-0.12,n2v,sg,10,0.1,1,153,,0.513427496,0.5263,7,,,,,,,
SBM-0.2-0.12,n2v,sg_aug,-1,0.1,0.1,204,25,0.50532341,0.506,24,,,,,,,
SBM-0.2-0.12,n2v,sg_aug,10,0.1,0.1,148,,0.50632304,0.5065,24,,,,,,,
SBM-0.2-0.12,n2v,sg_aug,1000000,0.1,0.1,148,,0.500638902,0.5008,25,,,,,,,
SBM-0.2-0.14,n2v,sg,-1,0.1,1,225,25,0.519015372,0.5306,8,,,,,,,
SBM-0.2-0.14,n2v,sg,10,0.1,1,152,,0.513148367,0.5267,7,,,,,,,
SBM-0.2-0.14,n2v,sg_aug,-1,0.1,0.1,204,25,0.504025221,0.5049,23,,,,,,,
SBM-0.2-0.14,n2v,sg_aug,10,0.1,0.1,150,,0.504284918,0.5043,26,,,,,,,
SBM-0.2-0.14,n2v,sg_aug,1000000,0.1,0.1,147,,0.49972859,0.4997,26,,,,,,,
SBM-0.2-0.16,n2v,sg,-1,0.1,1,266,25,0.503012002,0.5038,22,,,,,,,
SBM-0.2-0.16,n2v,sg,10,0.1,1,179,,0.50508666,0.5051,26,,,,,,,
SBM-0.2-0.16,n2v,sg_aug,10,0.1,0.1,176,,0.499918848,0.5007,18,,,,,,,
SBM-0.2-0.16,n2v,sg_aug,1000000,0.1,0.1,176,,0.498476714,0.5002,1,,,,,,,
SBM-0.2-0.18,n2v,sg,-1,0.1,1,265,25,0.50239116,0.5047,22,,,,,,,
SBM-0.2-0.18,n2v,sg,10,0.1,1,180,,0.502302825,0.5031,12,,,,,,,
SBM-0.2-0.18,n2v,sg_aug,-1,0.1,0.1,244,25,0.496646613,0.4996,2,,,,,,,
SBM-0.2-0.18,n2v,sg_aug,10,0.1,0.1,176,,0.49914664,0.5008,1,,,,,,,
SBM-0.2-0.18,n2v,sg_aug,1000000,0.1,0.1,176,,0.4988783,0.4996,1,,,,,,,
SBM-0.2-0.2,n2v,sg,-1,0.1,1,265,25,0.499950469,0.5059,22,,,,,,,
SBM-0.2-0.2,n2v,sg,10,0.1,1,179,,0.504417777,0.5046,23,,,,,,,
SBM-0.2-0.2,n2v,sg_aug,-1,0.1,0.1,244,25,0.496603578,0.4998,16,,,,,,,
SBM-0.2-0.2,n2v,sg_aug,10,0.1,0.1,178,,0.498521328,0.5017,1,,,,,,,
SBM-0.2-0.2,n2v,sg_aug,1000000,0.1,0.1,178,,0.499297976,0.4995,1,,,,,,,
