Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.016,line,sg_aug,1000000000,0.1,0.1,94,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.692858874797821,0.6929,10,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6910732984542847,0.6911,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.02,line,sg,-1,0.1,1.0,104,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7653120756149292,0.7653,10,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7676795721054077,0.7677,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.02,line,sg,10,0.1,1.0,102,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7686821222305298,0.7687,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7604227066040039,0.7604,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.02,line,sg_aug,10,0.1,0.1,95,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.49943187832832336,0.5000,4,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.4995611011981964,0.4997,4,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.02,line,sg_aug,1000000000,0.1,0.1,91,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6933737993240356,0.6934,10,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6891571879386902,0.6892,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.024,line,sg,-1,0.1,1.0,100,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7676498293876648,0.7676,10,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7623246908187866,0.7623,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.024,line,sg,10,0.1,1.0,106,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7635343074798584,0.7635,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.7648820281028748,0.7649,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.024,line,sg_aug,10,0.1,0.1,94,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.5009090900421143,0.5010,1,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.49953529238700867,0.4999,4,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.024,line,sg_aug,1000000000,0.1,0.1,95,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6920683979988098,0.6921,10,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6886648535728455,0.6887,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.028,line,sg,-1,0.1,1.0,104,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7638412714004517,0.7639,9,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7669171094894409,0.7669,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
SBM-0.2-0.028,line,sg,10,0.1,1.0,103,,69.07755279541016,1174.318359375,1243.3958740234375,236875824.0,13862400.0,0.7647675275802612,0.7648,10,0.01019254606217146,0.0102,10,0.0,0.0001,4,0.764137327671051,0.7641,10,0.010113521479070187,0.0101,9,0.0,0.0000,7
SBM-0.2-0.028,line,sg_aug,10,0.1,0.1,91,,1277.934814453125,0.0,1277.934814453125,9405313.0,13728256.0,0.4979449510574341,0.4982,5,0.007091346196830273,0.0073,8,0.0,0.0002,4,0.4996066987514496,0.4998,1,0.007066131569445133,0.0071,3,4.9035232223104686e-05,0.0001,9
SBM-0.2-0.028,line,sg_aug,1000000000,0.1,0.1,97,,69.07755279541016,0.0,69.07755279541016,4849487872.0,13728256.0,0.6938236951828003,0.6938,10,0.008839230984449387,0.0088,10,0.0,0.0000,7,0.6899445652961731,0.6899,10,0.008714860305190086,0.0088,7,0.0,0.0000,9
SBM-0.2-0.032,line,sg,-1,0.1,1.0,105,,379.9265441894531,1141.6292724609375,1521.5557861328125,32779064.0,14132736.0,0.7638279795646667,0.7638,9,0.01016908884048462,0.0102,10,0.0,0.0001,7,0.7666336297988892,0.7666,10,0.010130573064088821,0.0101,10,2.4517616111552343e-05,0.0000,7
