Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
CiteSeer,n2v,sg_aug,1000000000,0.1,0.1,6,4,614.7124633789062,0.0,614.7124633789062,43905116.0,2085803008.0,0.7351,2,0.0924,4,0.0000,1,0.7375,1,0.1131,3,0.0297,2
CiteSeer,n2v,sg_aug,1000000000,0.1,1.0,6,4,614.7124633789062,0.0,614.7124633789062,43905112.0,2085803008.0,0.7534,2,0.0924,4,0.0000,1,0.7413,1,0.1131,3,0.0297,2
Cora,line,sg,10,0.1,1.0,91,4,-0.0,4.353796005249023,4.353796005249023,5425384.0,15483392.0,0.5966,1,0.0369,2,0.0076,1,0.5759,1,0.0306,1,0.0057,3
Cora,line,sg_aug,10,0.1,0.01,74,4,1.6689314179529902e-06,0.0,1.6689314179529902e-06,1355800.125,15479808.0,0.5249,4,0.0068,4,0.0000,1,0.5056,1,0.0064,1,0.0000,1
Cora,line,sg_aug,10,0.1,0.1,75,4,0.05738989636301994,0.0,0.05738989636301994,4089235.0,15479808.0,0.5085,1,0.0066,2,0.0000,1,0.5068,3,0.0062,2,0.0000,1
Cora,line,sg_aug,10,0.1,1.0,76,4,0.3886163830757141,0.0,0.3886163830757141,5905578.5,15479808.0,0.5337,2,0.0064,1,0.0000,1,0.5004,2,0.0063,1,0.0000,1
Cora,line,sg_aug,100,0.1,0.01,74,4,-0.0,0.0,0.0,229717152.0,15479808.0,0.5087,2,0.0085,1,0.0019,1,0.4934,2,0.0092,4,0.0019,4
Cora,line,sg_aug,100,0.1,0.1,74,4,-0.0,0.0,0.0,229717072.0,15479808.0,0.5258,2,0.0097,4,0.0038,1,0.5214,2,0.0082,4,0.0009,1
Cora,line,sg_aug,100,0.1,1.0,74,4,-0.0,0.0,0.0,229718368.0,15479808.0,0.5417,4,0.0099,4,0.0038,1,0.5124,1,0.0087,4,0.0009,1
Cora,line,sg_aug,1000,0.1,0.01,74,4,-0.0,0.0,0.0,1481176960.0,15479808.0,0.5575,4,0.0268,3,0.0266,1,0.5585,4,0.0225,3,0.0152,1
Cora,line,sg_aug,1000,0.1,0.1,76,4,-0.0,0.0,0.0,1481166592.0,15479808.0,0.5361,2,0.0336,2,0.0247,1,0.5413,4,0.0280,4,0.0180,3
Cora,line,sg_aug,1000,0.1,1.0,74,4,-0.0,0.0,0.0,1481167744.0,15479808.0,0.5722,2,0.0337,2,0.0266,2,0.5398,2,0.0294,4,0.0171,3
Cora,line,sg_aug,1000000000,0.1,0.01,75,4,-0.0,0.0,0.0,31783128.0,15479808.0,0.6448,4,0.0673,2,0.0057,1,0.6205,4,0.0623,3,0.0076,4
Cora,line,sg_aug,1000000000,0.1,0.1,75,4,-0.0,0.0,0.0,31783130.0,15479808.0,0.6515,2,0.0673,2,0.0057,1,0.6291,2,0.0623,3,0.0076,4
Cora,line,sg_aug,1000000000,0.1,1.0,73,4,-0.0,0.0,0.0,31783130.0,15479808.0,0.6423,4,0.0673,2,0.0057,1,0.6411,2,0.0623,3,0.0076,4
Cora,n2v,sg,10,0.1,1.0,6,4,16457.646484375,120238.1875,136695.828125,96291.1796875,3121537536.0,0.8235,3,0.1452,4,0.0266,1,0.8166,3,0.1404,4,0.0171,1
Cora,n2v,sg_aug,10,0.1,0.01,5,4,391.8751525878906,0.0,391.8751525878906,2785560.5,2084531712.0,0.8009,3,0.1117,2,0.0057,1,0.7596,1,0.1049,4,0.0066,1
Cora,n2v,sg_aug,10,0.1,0.1,5,4,1151.310791015625,0.0,1151.310791015625,614004.625,2084531712.0,0.8069,1,0.1082,2,0.0133,1,0.7846,1,0.1049,2,0.0076,1
