Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.02,line,sg_aug,-1,0.1,0.1,262,,0.013336244,0,0.013336244,4124048.5,13730304,0.736602247,0.7366,25,0.011573641,0.0118,18,0,0.0005,17,0.735159159,0.7352,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.02,line,sg_aug,10,0.1,0.1,261,,0.129817396,0,0.129817396,5749137,13730304,0.736303329,0.7373,24,0.011355402,0.0117,18,0,0.0003,17,0.731789887,0.7325,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.02,line,sg_aug,1000000000,0.1,0.1,91,,69.0775528,0,69.0775528,4849487872,13728256,0.693373799,0.6934,10,0.008839231,0.0088,10,0,0,7,0.689157188,0.6892,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.024,line,sg,-1,0.1,1,285,,0,1174.318359,1174.318359,28786342,14134784,0.764427066,0.7698,12,0.011344025,0.0116,23,0,0.0005,16,0.7625314,0.7633,2,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.024,line,sg,10,0.1,1,285,,0,1174.318359,1174.318359,14776186,13864448,0.764951408,0.7661,10,0.011519076,0.0117,17,0.000147109,0.0004,17,0.766601622,0.7688,12,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.024,line,sg_aug,-1,0.1,0.1,261,,0.013336244,0,0.013336244,4124048.5,13730304,0.735360444,0.7355,24,0.011573641,0.0118,18,0,0.0005,17,0.733144999,0.7331,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.024,line,sg_aug,10,0.1,0.1,262,,0.129817396,0,0.129817396,5749137,13730304,0.732659876,0.7345,24,0.011355402,0.0117,18,0,0.0003,17,0.732892752,0.7332,24,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.024,line,sg_aug,1000000000,0.1,0.1,95,,69.0775528,0,69.0775528,4849487872,13728256,0.692068398,0.6921,10,0.008839231,0.0088,10,0,0,7,0.688664854,0.6887,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.028,line,sg,-1,0.1,1,287,,0,1174.318359,1174.318359,28786342,14134784,0.766012371,0.7686,23,0.011344025,0.0116,23,0,0.0005,16,0.765450299,0.7682,18,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.028,line,sg,10,0.1,1,287,,0,1174.318359,1174.318359,14776186,13864448,0.765060723,0.7675,5,0.011519076,0.0117,17,0.000147109,0.0004,17,0.766800821,0.7688,15,0.011813367,0.0119,24,0.000367764,0.0004,25
