Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,Loss/classifier_loss
CiteSeer,line,sg_aug,1,0.1,0.1,1.0,0.5,01-29-12h17m,12.691339015960693,999,0.00012076093116775155,0.0,0.00012076093116775155,2773.284912109375,0.5782794952392578,0.03079661913216114,0.002197802299633622,0.005494505632668734,0.012087912298738956,0.02857143059372902,0.5895861983299255,0.032350365072488785,0.0016483517829328775,0.004945055115967989,0.014835165813565254,0.02747252956032753,295477760.0,0.5819168090820312,0.029078945517539978,0.0,0.007692308165132999,0.009890110231935978,0.019780220463871956,0.5960421562194824,0.03748131915926933,0.0,0.011538461782038212,0.015384616330265999,0.02637362852692604,0.6023194193840027
CiteSeer,line,sg_aug,1,0.1,1.0,1.0,0.5,01-29-12h17m,12.76621413230896,999,0.0012460321886464953,0.0,0.0012460321886464953,1445.2181396484375,0.5880317687988281,0.03034462220966816,0.001098901149816811,0.008791209198534489,0.018681319430470467,0.02857143059372902,0.5863251090049744,0.03132471442222595,0.0,0.007142857648432255,0.024175824597477913,0.03131868317723274,295477760.0,0.6197728514671326,0.03235436603426933,0.0,0.001098901149816811,0.008791209198534489,0.016483517363667488,0.5910311341285706,0.03360467031598091,0.0,0.0016483517829328775,0.008241758681833744,0.012637362815439701,0.6828617453575134
CiteSeer,line,sg_aug,1,0.1,10.0,1.0,0.5,01-29-12h16m,12.720014333724976,999,0.021429242566227913,0.0,0.021429242566227913,2117.34619140625,0.5684075355529785,0.0320526584982872,0.0,0.005494505632668734,0.009890110231935978,0.015384616330265999,0.5804105997085571,0.029167989268898964,0.0,0.004395604599267244,0.009890110231935978,0.01428571529686451,295477760.0,0.5527909398078918,0.033025503158569336,0.0,0.01318681426346302,0.018681319430470467,0.019780220463871956,0.5731921792030334,0.027302833274006844,0.0,0.004395604599267244,0.007692308165132999,0.013736264780163765,1.3029932975769043
CiteSeer,line,sg_aug,1,0.1,100.0,1.0,0.5,01-29-12h16m,12.84571886062622,999,0.49603039026260376,0.0,0.49603039026260376,2523.68017578125,0.5781819224357605,0.03244367241859436,0.0,0.004395604599267244,0.01318681426346302,0.020879121497273445,0.5674007534980774,0.02865910530090332,0.0,0.004395604599267244,0.009340659715235233,0.010989011265337467,295477760.0,0.5884355306625366,0.03487872704863548,0.0,0.004395604599267244,0.025274725630879402,0.032967034727334976,0.5612607002258301,0.02634144201874733,0.0,0.004395604599267244,0.012087912298738956,0.018681319430470467,1.229623794555664
CiteSeer,line,sg_aug,10,0.1,0.1,1.0,0.5,01-29-12h20m,12.194931268692017,999,3.7432000681292266e-05,0.0,3.7432000681292266e-05,2007.5689697265625,0.5835132002830505,0.03403996676206589,0.002197802299633622,0.007692308165132999,0.012087912298738956,0.017582418397068977,0.6231124997138977,0.03726477921009064,0.0,0.007692308165132999,0.016483517363667488,0.019780220463871956,295477760.0,0.6127979755401611,0.038493163883686066,0.0,0.008791209198534489,0.01318681426346302,0.024175824597477913,0.6233587861061096,0.03728505223989487,0.0,0.006043956149369478,0.01318681426346302,0.024175824597477913,0.7739670872688293
CiteSeer,line,sg_aug,10,0.1,1.0,1.0,0.5,01-29-12h20m,12.269768238067627,999,0.00033236085437238216,0.0,0.00033236085437238216,4.759064674377441,0.6052322387695312,0.029121290892362595,0.0,0.0,0.004395604599267244,0.01428571529686451,0.6011242866516113,0.029734132811427116,0.0,0.002747252816334367,0.009890110231935978,0.010989011265337467,295477760.0,0.596356213092804,0.03487032279372215,0.0,0.002197802299633622,0.002197802299633622,0.005494505632668734,0.5753095746040344,0.028887925669550896,0.0,0.0016483517829328775,0.007692308165132999,0.011538461782038212,0.7735248804092407
CiteSeer,line,sg_aug,10,0.1,10.0,1.0,0.5,01-29-12h20m,12.316281080245972,999,0.0059697311371564865,0.0,0.0059697311371564865,2878.06982421875,0.5791711807250977,0.029100779443979263,0.0,0.003296703565865755,0.010989011265337467,0.018681319430470467,0.6101042628288269,0.03231356665492058,0.0,0.005494505632668734,0.016483517363667488,0.01923076994717121,295477760.0,0.5563356280326843,0.035052306950092316,0.0,0.009890110231935978,0.019780220463871956,0.02747252956032753,0.6006643176078796,0.033052168786525726,0.001098901149816811,0.005494505632668734,0.014835165813565254,0.02747252956032753,1.0905455350875854
CiteSeer,line,sg_aug,10,0.1,100.0,1.0,0.5,01-29-12h19m,12.168192863464355,999,0.1925927996635437,0.0,0.1925927996635437,2.2936463356018066,0.5747994780540466,0.02690889686346054,0.0,0.005494505632668734,0.005494505632668734,0.009890110231935978,0.5694690942764282,0.02746688202023506,0.0005494505749084055,0.0038461540825664997,0.007142857648432255,0.008241758681833744,295477760.0,0.5834517478942871,0.0338367335498333,0.0,0.008791209198534489,0.01428571529686451,0.019780220463871956,0.5775395035743713,0.029142482206225395,0.0,0.004395604599267244,0.009340659715235233,0.012637362815439701,1.2330700159072876
CiteSeer,line,sg_aug,100,0.1,0.1,1.0,0.5,01-29-12h22m,12.161263942718506,999,3.5762823245022446e-06,0.0,3.5762823245022446e-06,57948.51953125,0.6666764616966248,0.03345964848995209,0.0,0.0,0.004395604599267244,0.016483517363667488,0.6418026685714722,0.03131746128201485,0.0,0.0005494505749084055,0.00659340713173151,0.010989011265337467,295477760.0,0.6576569080352783,0.032589808106422424,0.0,0.003296703565865755,0.008791209198534489,0.020879121497273445,0.6429306268692017,0.03870803862810135,0.0,0.003296703565865755,0.01318681426346302,0.024175824597477913,0.46979108452796936
CiteSeer,line,sg_aug,100,0.1,1.0,1.0,0.5,01-29-12h22m,12.220680952072144,999,-0.0,0.0,0.0,95171.390625,0.6357209086418152,0.032018691301345825,0.0,0.008791209198534489,0.01318681426346302,0.02747252956032753,0.6458301544189453,0.031019745394587517,0.0,0.0038461540825664997,0.015934066846966743,0.021978022530674934,295477760.0,0.6495517492294312,0.03747081756591797,0.0,0.007692308165132999,0.008791209198534489,0.023076923564076424,0.6573782563209534,0.031119629740715027,0.0,0.004395604599267244,0.012637362815439701,0.024725275114178658,0.460986852645874
CiteSeer,line,sg_aug,100,0.1,10.0,1.0,0.5,01-29-12h21m,12.22193717956543,999,7.152560215217818e-07,0.0,7.152560215217818e-07,127291.359375,0.6499187350273132,0.036062151193618774,0.0,0.010989011265337467,0.01318681426346302,0.03186813369393349,0.6369661688804626,0.03545769304037094,0.0005494505749084055,0.009340659715235233,0.019780220463871956,0.030769232660531998,295477760.0,0.628108024597168,0.042516548186540604,0.0,0.016483517363667488,0.020879121497273445,0.02637362852692604,0.6364851593971252,0.0372835248708725,0.0,0.009890110231935978,0.017582418397068977,0.02857143059372902,0.5310026407241821
CiteSeer,line,sg_aug,100,0.1,100.0,1.0,0.5,01-29-12h21m,12.299830913543701,999,-0.0,0.0,0.0,194169.4375,0.6142839789390564,0.0389241948723793,0.0,0.00659340713173151,0.009890110231935978,0.023076923564076424,0.6043655872344971,0.04136662930250168,0.002197802299633622,0.01428571529686451,0.02967033162713051,0.030769232660531998,295477760.0,0.5798369646072388,0.03651892766356468,0.0,0.008791209198534489,0.010989011265337467,0.016483517363667488,0.5993534922599792,0.033667098730802536,0.0005494505749084055,0.005494505632668734,0.01318681426346302,0.015934066846966743,0.9045642614364624
CiteSeer,line,sg_aug,5,0.1,0.1,1.0,0.5,01-29-12h19m,12.46489143371582,999,3.004079553647898e-05,0.0,3.004079553647898e-05,35.71169662475586,0.5916363000869751,0.027642663568258286,0.0,0.00659340713173151,0.010989011265337467,0.018681319430470467,0.6143426895141602,0.03469813987612724,0.0,0.010439560748636723,0.0203296709805727,0.03186813369393349,295477760.0,0.5849771499633789,0.02652689814567566,0.0,0.002197802299633622,0.007692308165132999,0.009890110231935978,0.6147589087486267,0.03365723788738251,0.0005494505749084055,0.0038461540825664997,0.006043956149369478,0.012637362815439701,0.777208685874939
