Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/MRR,metrics/Hits_50,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization
CiteSeer,line,sg,1,0.01,0.01,30.430059909820557,2,0.20425419509410858,0.07499215751886368,-0.0,0.784283459186554,0.784283459186554,2459.053466796875
CiteSeer,line,sg,1,0.01,0.1,30.544543981552124,2,0.20425419509410858,0.07499215751886368,-0.0,0.784283459186554,0.784283459186554,24590.537109375
CiteSeer,line,sg,1,0.01,1.0,30.228995084762573,2,0.20425419509410858,0.07499215751886368,-0.0,0.784283459186554,0.784283459186554,245905.359375
CiteSeer,line,sg,1,0.1,0.01,30.3412983417511,2,0.30368494987487793,0.18293066322803497,-0.0,-0.0,-0.0,37918.4765625
CiteSeer,line,sg,1,0.1,0.1,30.23274064064026,2,0.30368494987487793,0.18293066322803497,-0.0,-0.0,-0.0,379184.78125
CiteSeer,line,sg,1,0.1,1.0,30.430999517440796,2,0.30368494987487793,0.18293066322803497,-0.0,-0.0,-0.0,3791847.75
CiteSeer,line,sg,1,1.0,0.01,30.647114515304565,2,0.05914245918393135,0.0511452779173851,-0.0,-0.0,-0.0,2041754.625
CiteSeer,line,sg,1,1.0,0.1,30.638545513153076,2,0.05914245918393135,0.0511452779173851,-0.0,-0.0,-0.0,20417548.0
CiteSeer,line,sg,1,1.0,1.0,30.501655101776123,2,0.05914245918393135,0.0511452779173851,-0.0,-0.0,-0.0,204175472.0
CiteSeer,line,sg_aug,1,0.01,0.01,25.761528253555298,2,0.006869358476251364,0.00031377471168525517,6.170252799987793,0.0,6.170252799987793,2.2737367036103438e-15
CiteSeer,line,sg_aug,1,0.01,0.1,25.786215782165527,2,0.006869358476251364,0.00031377471168525517,6.170262336730957,0.0,6.170262336730957,1.2050805232172168e-12
CiteSeer,line,sg_aug,1,0.01,1.0,25.623350620269775,2,0.006869373843073845,0.00031377471168525517,6.170246601104736,0.0,6.170246601104736,5.6843418860808015e-12
CiteSeer,line,sg_aug,1,0.1,0.01,25.668680667877197,2,0.006869375705718994,0.00031377471168525517,6.170248508453369,0.0,6.170248508453369,1.0459188582497697e-13
CiteSeer,line,sg_aug,1,0.1,0.1,25.6873459815979,2,0.006869373843073845,0.00031377471168525517,6.170265197753906,0.0,6.170265197753906,5.684341886080801e-13
CiteSeer,line,sg_aug,1,0.1,1.0,25.82372784614563,2,0.006869375705718994,0.00031377471168525517,6.170255184173584,0.0,6.170255184173584,5.6843418860808015e-12
CiteSeer,line,sg_aug,1,1.0,0.01,25.977017164230347,2,0.006869373377412558,0.00031377471168525517,6.170251846313477,0.0,6.170251846313477,9.322320611857352e-14
CiteSeer,line,sg_aug,1,1.0,0.1,25.76851201057434,2,0.006869371514767408,0.00031377471168525517,6.1702561378479,0.0,6.1702561378479,1.8702493775890616e-07
CiteSeer,line,sg_aug,1,1.0,1.0,25.706212997436523,2,0.006869361270219088,0.00031377471168525517,6.170253753662109,0.0,6.170253753662109,1.2732926692182733e-11
CiteSeer,line,sg_aug,1000,0.01,0.01,25.464377403259277,2,0.38707679510116577,0.20363979041576385,-0.0,0.0,0.0,1085.651611328125
CiteSeer,line,sg_aug,1000,0.01,0.1,25.458805561065674,2,0.2789452373981476,0.0991528108716011,-0.0,0.0,0.0,6148.58740234375
CiteSeer,line,sg_aug,1000,0.01,1.0,25.28791308403015,2,0.031180623918771744,0.0021964230109006166,-0.0,0.0,0.0,15462.4814453125
CiteSeer,line,sg_aug,1000,0.1,0.01,25.434381246566772,2,0.35389280319213867,0.2525886297225952,-0.0,0.0,0.0,178967.296875
CiteSeer,line,sg_aug,1000,0.1,0.1,25.556755781173706,2,0.35263699293136597,0.2102290540933609,-0.0,0.0,0.0,322127.84375
CiteSeer,line,sg_aug,1000,0.1,1.0,25.64429807662964,2,0.1456853300333023,0.08879823982715607,-0.0,0.0,0.0,143029.0
CiteSeer,line,sg_aug,1000,1.0,0.01,25.40081810951233,2,0.08241233229637146,0.06620646268129349,-0.0,0.0,0.0,596470.125
CiteSeer,line,sg_aug,1000,1.0,0.1,25.36441969871521,2,0.11308488994836807,0.0505177304148674,-0.0,0.0,0.0,2410067.75
CiteSeer,line,sg_aug,1000,1.0,1.0,25.412880897521973,2,0.10439906269311905,0.0524003766477108,-0.0,0.0,0.0,83812.6328125
CiteSeer,line,sg_aug,2,0.01,0.01,25.888314247131348,2,0.38707679510116577,0.20363979041576385,-0.0,0.0,0.0,1085.651611328125
