Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
ogbl-citation2,n2v,sg,10,0.01,1.0,2596,3,129172.2109375,623100.75,752272.9375,8778578132992.0,19250343936.0,0.7885,3,0.0734,3,0.0375,3,0.7886,3,0.0738,3,0.0401,3
ogbl-citation2,n2v,sg_aug,1000,0.01,1e-06,2087,3,13884.5205078125,0.0,13884.5205078125,3209584181248.0,15001152512.0,0.8230,3,0.0363,3,0.0029,2,0.8243,3,0.0361,3,0.0026,2
ogbl-citation2,n2v,sg_aug,1000000000,0.01,1e-06,1982,3,1628.2747802734375,0.0,1628.2747802734375,102378925719552.0,15001152512.0,0.6722,3,0.0184,3,0.0021,3,0.6740,3,0.0188,3,0.0018,2
ogbl-collab,line,sg,-1,0.1,1.0,2632,10,69.07755279541016,227.9994354248047,297.0769958496094,21994465280.0,634920960.0,0.6002,10,0.0681,5,0.0769,8,0.5799,10,0.0550,6,0.0590,8
ogbl-collab,line,sg,10,0.1,1.0,2597,10,34.53877639770508,173.81463623046875,208.35340881347656,2230884608.0,634853376.0,0.6717,9,0.1202,5,0.1342,6,0.6316,10,0.0928,6,0.1020,10
ogbl-collab,line,sg_aug,1000,0.1,0.01,2046,10,-0.0,0.0,0.0,11365375803392.0,634818048.0,0.5677,10,0.0380,3,0.0309,1,0.5695,3,0.0380,6,0.0300,1
ogbl-collab,line,sg_aug,1000000000,0.1,0.01,2050,10,34.53877639770508,0.0,34.53877639770508,23071545344.0,634818048.0,0.7410,9,0.2225,10,0.2201,3,0.6898,8,0.1741,10,0.1755,9
ogbl-collab,n2v,sg,-1,0.1,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-collab,n2v,sg,10,0.1,1.0,580,10,226752.03125,1204551.75,1431303.75,1175242624.0,13246984192.0,0.9357,1,0.4458,1,0.2275,2,0.9146,1,0.3710,1,0.1821,2
ogbl-collab,n2v,sg_aug,100,0.1,0.01,539,10,218.69775390625,0.0,218.69775390625,1900306628608.0,8997793792.0,0.8788,3,0.1888,2,0.0693,2,0.8606,3,0.1541,2,0.0510,2
ogbl-collab,n2v,sg_aug,1000000000,0.1,0.01,542,10,4.545078754425049,0.0,4.545078754425049,1907027869696.0,8997793792.0,0.8321,1,0.1671,1,0.0435,1,0.8097,1,0.1357,1,0.0316,1
ogbl-ppa,line,sg,-1,0.01,1.0,1223,1,135.82156372070312,606.5569458007812,742.3785400390625,125657751552.0,1974605824.0,0.7646,1,,,,,,,,,,
ogbl-ppa,line,sg,-1,0.01,1.0,3883,3,61.67203140258789,897.5704956054688,959.2425537109375,255534514176.0,1974605824.0,0.8545,3,,,0.0042,3,0.8544,3,,,0.0063,3
ogbl-ppa,line,sg,-1,0.01,1.0,3832,3,36.91537094116211,878.0025634765625,914.9179077148438,255204245504.0,1974605824.0,0.8544,3,,,0.0053,3,0.8545,3,,,0.0056,3
ogbl-ppa,line,sg,-1,0.01,1.0,3870,3,96.59113311767578,786.5930786132812,883.1842041015625,257502838784.0,1974605824.0,0.8542,3,,,0.0055,3,0.8541,3,,,0.0064,3
ogbl-ppa,line,sg,10,0.01,1.0,1215,1,56.258056640625,628.7467041015625,685.0047607421875,129142644736.0,1974065152.0,0.8419,1,,,,,,,,,,
ogbl-ppa,line,sg,10,0.01,1.0,3875,3,34.52391815185547,574.639404296875,609.163330078125,526789181440.0,1974065152.0,0.8754,3,,,0.0191,2,0.8755,3,,,0.0188,2
